SMILES,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,QED
CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2,789.0,104,6.48,1.9079557582606879,13.529274335340189,5.8974041608264,2.6928367155024646,284.428,4.241000000000003,0,3,4,3,0.8288580486751156
COC1=CC2=C(C[C@H]3[C@H]4CCCC[C@@]24CCN3C)C=C1,682.0,116,12.47,1.878064713272342,12.700482099286223,4.489710209343101,1.604791759224291,271.4039999999999,3.3834000000000026,0,2,1,4,0.776132215018127
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,802.0,100,12.03,1.6083797130755597,14.878958463973246,7.8230600428570565,3.9950172791174468,277.4959999999999,5.295400000000005,1,1,4,3,0.7354070672581982
CCC(=O)C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1,1250.0,126,23.550000000000004,2.068863893591207,17.056367157374492,6.994053963066903,3.212428763439241,340.4920000000001,4.832100000000005,0,4,5,3,0.7273120276641492
CNCCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,759.0,102,12.03,2.1133271211644953,13.1383245385578,6.06175238086963,2.5432784027273465,263.38399999999996,3.826400000000003,1,1,3,3,0.8299677542138636
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2,759.0,102,12.03,2.034207092771706,13.1383245385578,6.06175238086963,2.5432784027273465,263.384,4.301900000000003,1,1,4,3,0.8108521414626005
ClC1=C(CN2CCC3=C(C2)C=CS3)C=CC=C1,533.0,90,3.24,1.741225139957795,11.271230384229662,4.807937906226536,2.3914768858210183,263.793,3.959800000000003,0,2,2,3,0.7928094140981294
CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,736.0,90,12.47,2.1446055624492186,13.783863566244703,7.073267029461437,4.194495435474983,255.36100000000002,3.3542000000000023,0,2,6,2,0.784550440095116
CN(C)CCC=C1C2=CC=CC=C2COC2=C1C=CC=C2,882.0,108,12.47,2.065949702723201,13.901814763425588,6.146844081766772,3.006125990520758,279.383,3.9624000000000033,0,2,3,3,0.8428637069733037
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,953.0,106,16.130000000000003,1.9000053066067313,14.026132168654264,6.682521574073874,3.586721213848961,278.39899999999994,3.917520000000003,0,2,4,3,0.8424584892828999
CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,687.0,112,6.48,1.9017661245550797,11.97999288002848,4.637130177514793,1.831999373482653,264.372,3.0839000000000016,0,2,0,4,0.7212588245608211
C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=C1C=CC=C2,1958.0,134,12.03,1.5662199267403214,18.46075934416159,7.9167607935188595,4.4389253485882225,357.41900000000004,6.142000000000005,1,1,6,3,0.5224072222569837
CNC1(C)C2CCC(C2)C1(C)C,161.0,70,12.03,2.344959806871241,8.55346898338668,2.2545743378422767,0.7360392119898203,167.296,2.4206000000000003,1,1,1,2,0.632181599279575
