Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
CHEMBL3688825,[C-]#[N+]c1cnc2c(c1)CC[C@H]2Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,'=',108.1,nM,6.97
CHEMBL3693250,NC1=N[C@@](c2cc(-n3cc(C#CC4CC4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,IC50,'=',8625,nM,5.06
CHEMBL3703231,COc1cccnc1Nc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)CO2,IC50,'=',3750,nM,5.43
CHEMBL3703258,NC1=NC2(CO1)c1cc(-c3cncc(C4CC4)c3)ccc1OCC21CC1,IC50,'=',3690,nM,5.43
CHEMBL3703253,CC1(C)Oc2ccc(-c3cncnc3)cc2C2(COC(N)=N2)C12COC2,IC50,'=',397,nM,6.4
CHEMBL3703269,NC1=NC2(CO1)c1cc(-c3cncc(F)c3)ccc1OC1(CCC1)C21COC1,IC50,'=',1750,nM,5.76
CHEMBL3703228,C#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,IC50,'=',519,nM,6.29
CHEMBL3654216,Cn1ccc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)n1,IC50,'=',183,nM,6.74
CHEMBL3691366,NC1=N[C@@]2(c3ccccc3)COCC[C@H]2CS1,IC50,'=',10400,nM,4.98
CHEMBL3691371,COc1ccccc1[C@]12COCC[C@H]1CSC(N)=N2,IC50,'>',100000,nM,
CHEMBL3691374,NC1=N[C@@]2(c3ccccc3F)CO[C@@H](COc3ncccn3)C[C@H]2CS1,IC50,'=',8030,nM,5.09
CHEMBL3691364,NC1=N[C@@]2(c3ccccc3F)COCC[C@H]2CS1,IC50,'=',7950,nM,5.1
CHEMBL3672695,CC1=N[C@]2(N=C1N)c1cc(OCCCF)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,IC50,'=',3,nM,8.52
CHEMBL4113193,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(Cl)cc(C#N)c3)cc1[C@]21N=C(C)C(N)=N1,IC50,'>',4300,nM,
CHEMBL4077530,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)N1.Cl,IC50,'=',79,nM,7.1
CHEMBL4284235,Cc1ccc(NC(=O)c2coc3ccc(/C=C/C(=O)OCCN(C)C)cc3c2=O)cc1,IC50,'>',10000,nM,
CHEMBL4085364,[2H]C1([2H])OC(N)=N[C@]12c1cc(-c3cncnc3)ccc1C[C@@]21C[C@@H](C)[C@H](OC)[C@@H](C)C1,IC50,'=',1.5,nM,8.82
CHEMBL3673194,NC1=N[C@@]2(c3cc(CNCC(F)(F)F)c(F)cc3F)CO[C@@H](CF)C[C@H]2CS1,IC50,'=',77,nM,7.11
CHEMBL4095483,Fc1ccc(-c2cnc(-c3cccc(-c4cnc(-c5c[nH]c6cc(OC(F)(F)F)ccc56)[nH]4)c3)[nH]2)cc1,IC50,'=',180,nM,6.75
CHEMBL1221977,CN(C(=O)CCCn1c(N)nc2cc(Cl)ccc21)C1CCCCC1,IC50,'=',26000,nM,4.58
CHEMBL1221979,Nc1nc2cc(Cl)ccc2n1CCCC(=O)NCCN1CCOCC1,IC50,'=',827000,nM,
CHEMBL1222143,CC(C)C[C@H](CC(=O)NC(C)C)n1c(N)nc2cc(Cl)ccc21,IC50,'>',1000000,nM,
CHEMBL1222238,CC[C@@H](CC(=O)NCC1CC1)n1c(N)nc2cc(Cl)ccc21,IC50,'=',243000,nM,3.61
CHEMBL1222301,CC[C@@H](CC(=O)NCCC(C)(C)C)n1c(N)nc2cc(Cl)ccc21,IC50,'=',95000,nM,4.02
CHEMBL1222368,CC[C@@H](CC(=O)N[C@@H](COC(C)(C)C)C(=O)O)n1c(N)nc2cc(Cl)ccc21,IC50,'=',87000,nM,4.06
